,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,port lincoln,32,CD,1608520684,74,-7.03,29.76,70.12,5.23
96,avarua,50,CK,1608520684,65,-21.21,-159.78,80.6,5.82
97,cumana,38,VE,1608520684,81,10.46,-64.18,78.19,9.82
98,shenzhen,96,CN,1608520596,59,22.55,114.07,62.01,10.0
99,kloulklubed,75,PW,1608520684,74,7.04,134.26,86.0,13.87
100,lasa,75,IT,1608520684,75,46.62,10.7,39.0,3.36
101,bom jesus,0,ML,1608520684,29,14.95,-2.93,63.37,6.69
102,lyndon,1,US,1608520684,80,38.26,-85.6,37.99,5.82
103,grand-santi,85,GF,1608520684,95,4.25,-54.38,73.06,2.55
104,yugorsk,0,RU,1608520684,93,61.31,63.33,4.06,5.77
105,katsuura,20,JP,1608520628,25,35.13,140.3,50.0,3.36
106,berdigestyakh,100,RU,1608520685,84,62.1,126.7,-26.41,1.19
107,barrow,1,US,1608520685,68,71.29,-156.79,-20.2,9.17
108,baffa,10,PK,1608520685,55,34.44,73.22,50.02,5.55
109,ostrovnoy,100,RU,1608520685,90,68.05,39.51,36.09,19.01
110,samarai,5,PG,1608520685,71,-10.62,150.67,84.16,2.55
111,vardo,100,NO,1608520685,90,70.37,31.11,38.66,18.39
112,berlevag,100,NO,1608520685,90,70.86,29.09,40.96,23.96
113,tilichiki,27,RU,1608520686,90,60.47,166.1,-14.31,13.29
114,nisia floresta,100,GR,1608520686,88,39.39,21.64,39.99,11.99
115,letka,100,RU,1608520686,97,59.6,49.42,20.89,10.98
116,nakamura,4,JP,1608520686,49,32.98,132.93,49.59,8.05
117,kodiak,1,US,1608520592,54,57.79,-152.41,30.2,20.8
118,cine,75,TR,1608520687,93,37.61,28.06,48.2,0.81
119,filadelfia,90,US,1608520601,93,39.95,-75.16,37.0,0.87
120,shimoda,40,JP,1608520687,53,34.67,138.95,50.0,5.82
121,torbay,20,CA,1608520687,92,47.67,-52.73,23.0,3.36
122,mildura,90,AU,1608520622,68,-34.2,142.15,64.4,5.82
123,dillon,90,US,1608520687,100,34.42,-79.37,46.99,4.7
124,miri,40,MY,1608520687,83,4.41,114.01,84.2,10.29
125,constitucion,0,CL,1608520556,62,-35.33,-72.42,59.07,13.04
126,cadillac,90,US,1608520687,98,44.25,-85.4,32.0,11.41
127,moura,20,PT,1608520687,100,38.14,-7.45,46.4,2.24
128,itarema,0,BR,1608520687,78,-2.92,-39.92,79.2,13.87
129,mys shmidta,100,RU,1608520687,97,62.06,48.62,24.08,4.79
130,atuona,1,PF,1608520687,77,-9.8,-139.03,78.44,15.41
131,hermanus,12,ZA,1608520687,89,-34.42,19.23,64.99,9.51
132,payo,95,ID,1608520687,71,-3.75,103.64,82.35,4.63
133,manaure,88,CO,1608520688,78,11.78,-72.44,79.81,16.84
134,gurgentepe,75,TR,1608520688,81,40.79,37.6,50.0,9.17
135,ahipara,100,NZ,1608520688,57,-35.17,173.17,73.45,5.08
136,hami,0,CN,1608520688,86,42.8,93.45,21.29,0.92
137,ayan,100,RU,1608520688,82,56.45,138.17,7.57,3.87
138,bull savanna,17,LR,1608520688,91,6.2,-10.28,75.33,0.58
139,porangatu,98,BR,1608520688,77,-13.44,-49.15,74.77,3.4
140,balkanabat,0,TM,1608520688,82,39.51,54.37,35.55,2.89
141,vostok,100,RU,1608520688,94,46.49,135.88,4.57,5.12
142,meulaboh,60,ID,1608520688,73,4.14,96.13,82.9,2.15
143,tankhoy,100,RU,1608520689,91,51.55,105.13,24.6,5.66
144,kharp,7,RU,1608520690,82,66.8,65.81,-19.71,8.81
145,port hedland,32,CD,1608520690,74,-7.03,29.76,70.12,5.23
146,deputatskiy,100,RU,1608520690,87,69.3,139.9,-30.96,2.82
147,brumado,100,BR,1608520411,92,-14.2,-41.67,71.47,3.11
148,pastos bons,15,PR,1608520690,97,18.12,-66.26,77.0,1.01
149,buchanan,28,LR,1608520690,83,5.88,-10.05,77.83,3.09
150,nouadhibou,0,MR,1608520690,77,20.93,-17.03,60.8,11.41
151,altamont,90,US,1608520690,81,42.21,-121.74,42.8,4.16
152,provideniya,20,RU,1608520690,77,64.38,-173.3,-2.2,13.42
153,vao,3,NC,1608520690,73,-22.67,167.48,76.8,8.84
154,kulhudhuffushi,62,MV,1608520690,69,6.62,73.07,82.33,10.58
155,araouane,20,ML,1608520691,36,18.9,-3.53,57.56,11.59
156,port blair,95,CD,1608520683,72,-7.03,29.76,70.56,3.94
157,souillac,40,MU,1608520691,78,-20.52,57.52,78.8,11.41
158,lusambo,78,CD,1608520691,94,-4.97,23.45,65.32,1.86
159,inirida,56,CO,1608520691,90,3.87,-67.92,73.89,1.39
160,saskylakh,98,RU,1608520691,82,71.92,114.08,-33.83,6.08
161,kibala,0,TD,1608520691,72,9.11,18.35,62.6,4.03
162,cherskiy,0,RU,1608520691,85,68.75,161.3,-28.86,2.66
163,portland,90,US,1608520574,87,45.52,-122.68,48.99,3.04
164,hofn,91,IS,1608520691,80,64.25,-15.21,35.4,12.8
165,esperance,82,AU,1608520691,63,-33.87,121.9,64.4,12.75
166,hobart,75,AU,1608520418,45,-42.88,147.33,72.0,13.87
167,airai,100,TL,1608520692,79,-8.93,125.41,73.17,4.79
168,touros,40,BR,1608520692,78,-5.2,-35.46,78.8,10.29
169,yzeure,90,FR,1608520692,100,46.56,3.35,43.0,3.36
170,keetmanshoop,99,NA,1608520692,56,-26.58,18.13,76.62,3.98
171,bandarbeyla,42,SO,1608520692,85,9.49,50.81,74.91,20.78
172,sungaipenuh,100,ID,1608520692,49,-2.08,101.38,79.56,1.41
173,nyurba,100,RU,1608520692,85,63.28,118.33,-25.73,1.3
174,san rafael,31,ML,1608520680,25,13.3,-4.9,68.45,13.11
175,flinders,100,AU,1608520692,75,-34.58,150.86,75.99,1.99
176,sorland,100,NO,1608520692,85,67.67,12.69,45.77,35.52
177,muroto,20,JP,1608520692,39,33.28,134.15,48.2,4.7
178,katangli,48,RU,1608520692,84,51.71,143.23,1.9,9.55
179,prince rupert,90,CA,1608520692,74,52.97,-108.38,35.6,14.99
180,manono,100,CD,1608520693,96,-7.3,27.42,66.97,2.95
181,pekan,20,MY,1608520693,88,3.48,103.4,77.0,3.36
182,puerto escondido,0,ES,1608520693,93,36.59,-6.23,51.8,6.93
183,olbia,40,IT,1608520693,100,40.92,9.49,46.4,1.12
184,marienburg,4,PL,1608520693,100,54.04,19.03,37.0,12.35
185,mosquera,20,CO,1608520693,81,4.71,-74.23,51.8,2.24
186,kudahuvadhoo,99,MV,1608520693,78,2.67,72.89,80.82,8.39
187,roebourne,15,AU,1608520693,47,-20.78,117.13,93.79,16.55
188,aguada de pasajeros,0,PR,1608520693,85,18.38,-67.19,75.99,3.0
189,richards bay,90,US,1608520693,92,46.84,-95.91,30.2,10.29
190,nouna,12,BF,1608520693,25,12.73,-3.87,68.13,7.31
191,polyarnyy,75,RU,1608520693,93,69.2,33.45,35.6,8.95
192,revelstoke,90,CA,1608520693,100,50.98,-118.2,33.8,2.24
193,cap-aux-meules,75,CA,1608520693,74,47.38,-61.86,33.8,6.93
194,paita,100,PE,1608520694,82,-5.09,-81.11,69.06,9.6
195,kokopo,5,PG,1608520694,65,-4.35,152.26,86.63,8.43
196,kiama,100,AU,1608520694,83,-34.68,150.87,75.99,5.99
197,syracuse,75,IT,1608520694,93,37.09,15.28,57.2,9.17
198,sijunjung,98,ID,1608520448,60,-0.69,100.95,85.23,0.78
199,synya,9,RU,1608520694,87,65.37,58.04,-10.55,1.86
200,bezhetsk,100,RU,1608520694,99,57.79,36.7,31.41,6.91
201,ponta do sol,98,PT,1608520694,92,38.73,-28.27,60.26,29.24
202,hasaki,20,JP,1608520694,36,35.73,140.83,50.0,10.29
203,along,0,IN,1608520694,42,28.17,94.77,60.08,0.65
204,narsaq,100,GL,1608520694,68,60.92,-46.05,26.6,12.75
205,sala,20,MA,1608520694,100,34.04,-6.82,54.0,6.55
206,puerto carreno,0,ES,1608520694,93,36.59,-6.23,51.8,6.93
207,ilulissat,100,GL,1608520694,47,69.22,-51.1,15.8,16.11
208,mufulira,100,ZM,1608520694,93,-12.55,28.24,64.99,3.0
209,charters towers,1,US,1608520695,100,38.57,-83.43,36.0,4.7
210,bathsheba,75,BB,1608520695,74,13.22,-59.52,80.6,14.99
211,saldanha,82,ZA,1608520695,82,-33.01,17.94,60.8,3.36
212,quelimane,20,MZ,1608520695,88,-17.88,36.89,80.6,2.24
213,butte,1,US,1608520695,76,39.65,-121.57,48.2,3.94
214,san roque,31,ML,1608520680,25,13.3,-4.9,68.45,13.11
215,mahebourg,40,MU,1608520485,78,-20.41,57.7,78.8,11.41
216,dongsheng,11,CN,1608520695,90,39.82,109.98,16.95,7.65
217,paso de los toros,53,BO,1608520695,87,-14.43,-67.52,75.52,1.59
218,newport,100,GB,1608520695,98,51.59,-3.0,48.0,10.65
219,mana,100,GF,1608520695,89,5.66,-53.78,77.63,6.64
220,mackenzie,90,CA,1608520695,94,55.3,-123.17,32.0,8.05
221,alta floresta,36,NO,1608520695,83,69.97,23.27,36.0,23.04
222,cabo san lucas,40,BR,1608520695,65,-8.28,-35.03,78.8,9.17
223,urucara,97,BR,1608520696,91,-2.54,-57.76,76.5,0.85
224,villa bruzual,99,IT,1608520696,74,46.2,10.13,48.0,0.34
225,nivala,100,FI,1608520696,96,63.92,24.97,39.0,8.99
226,alofi,75,NU,1608520696,83,-19.06,-169.92,82.4,11.41
227,san luis,31,ML,1608520680,25,13.3,-4.9,68.45,13.11
228,salina cruz,1,US,1608520479,52,38.84,-97.61,46.4,12.75
229,grindavik,90,IS,1608520696,82,63.84,-22.43,35.6,13.87
230,tabou,4,CI,1608520696,88,4.42,-7.35,77.59,6.15
231,nioro,84,GM,1608520696,23,13.35,-15.75,69.64,5.84
232,bonga,65,ET,1608520696,64,7.28,36.23,62.49,0.67
233,peniche,97,PT,1608520696,90,39.36,-9.38,57.99,5.99
234,nago,75,JP,1608520696,59,26.59,127.98,64.4,10.29
235,padang,100,ID,1608520696,58,-0.95,100.35,85.08,1.79
236,high level,1,US,1608520696,65,33.61,-95.75,46.99,5.82
237,kathmandu,20,NP,1608520471,87,27.72,85.32,46.4,2.24
238,fayaoue,17,NC,1608520697,74,-20.65,166.53,78.91,10.25
239,marsa matruh,40,MT,1608520697,93,35.88,14.5,59.0,5.82
240,maltahohe,100,NA,1608520697,69,-24.83,16.98,70.02,9.46
241,ust-kuyga,85,RU,1608520697,80,70.02,135.6,-38.74,3.89
242,yulara,100,AU,1608520697,51,-25.24,130.99,80.6,12.75
243,evreux,100,FR,1608520697,93,49.02,1.15,46.99,12.75
244,dingle,50,PH,1608520697,79,11.0,122.67,83.75,13.47
245,cap malheureux,100,FR,1608520697,93,49.27,-1.21,51.01,12.75
246,namikupa,29,TZ,1608520697,98,-10.83,39.6,71.08,2.08
247,mayumba,77,GA,1608520698,90,-3.43,10.66,76.59,6.31
248,sovetskiy,0,RU,1608520698,94,61.36,63.58,3.67,5.1
249,udachnyy,0,RU,1608520698,65,66.42,112.4,-36.4,6.71
250,najran,0,SA,1608520698,71,17.49,44.13,55.4,1.57
251,college,75,US,1608520698,70,64.86,-147.8,-4.0,6.93
252,carnarvon,0,AU,1608520698,20,-24.87,113.63,105.8,17.22
253,killin,1,US,1608520698,93,33.61,-91.74,42.01,5.17
254,zaysan,100,KZ,1608520698,95,47.47,84.87,14.88,4.52
255,sola,3,VU,1608520698,79,-13.88,167.55,81.46,11.79
256,izhma,94,RU,1608520698,88,65.01,53.91,2.8,6.44
257,pemberton,95,CA,1608520698,100,50.32,-122.8,41.0,1.12
258,port macquarie,95,CD,1608520683,72,-7.03,29.76,70.56,3.94
259,conakry,0,GN,1608520698,76,9.54,-13.68,80.67,5.57
260,lompoc,1,US,1608520648,58,34.64,-120.46,53.6,3.22
261,orlik,92,RU,1608520698,85,52.52,99.83,6.8,3.62
262,inverell,100,AU,1608520699,92,-29.78,151.12,77.0,6.35
263,itacoatiara,80,BR,1608520699,89,-3.14,-58.44,75.74,1.41
264,lingao,78,CN,1608520699,56,19.91,109.69,61.52,11.41
265,kavieng,85,PG,1608520699,69,-2.57,150.8,84.92,3.11
266,jiayuguan,0,CN,1608520699,70,39.82,98.3,18.41,2.01
267,klyuchi,62,RU,1608520699,88,52.27,79.17,-3.42,15.21
268,dunedin,100,NZ,1608520623,90,-45.87,170.5,53.01,1.99
269,margate,62,GB,1608520699,84,51.38,1.39,48.99,3.0
270,inhambane,38,MZ,1608520699,82,-23.86,35.38,75.09,6.58
271,shushtar,0,IR,1608520699,64,32.05,48.86,52.95,2.39
272,omboue,100,GA,1608520699,90,-1.57,9.26,77.14,8.63
273,iqaluit,5,CA,1608520699,76,63.75,-68.51,-11.0,3.36
274,guerrero negro,96,MX,1608520699,68,17.67,-100.0,67.26,4.34
275,kieta,69,PG,1608520699,72,-6.22,155.63,84.74,5.53
276,tallahassee,90,US,1608520421,100,30.44,-84.28,55.4,3.22
277,san patricio,29,ML,1608520700,24,13.3,-4.9,68.97,13.73
278,bonavista,0,CA,1608520700,92,48.65,-53.11,19.4,3.36
279,yeppoon,40,AU,1608520700,41,-23.13,150.73,93.2,11.41
280,san carlos,29,ML,1608520502,24,13.3,-4.9,68.97,13.73
281,upernavik,71,GL,1608520700,84,72.79,-56.15,10.35,5.75
282,makat,99,KZ,1608520700,93,47.65,53.35,9.07,9.91
283,karratha,11,AU,1608520700,49,-20.74,116.85,93.36,19.71
284,half moon bay,0,LR,1608520700,86,6.38,-10.7,76.59,1.28
285,ostersund,7,SE,1608520700,82,63.18,14.64,39.2,10.29
286,cabedelo,0,BR,1608520700,83,-6.98,-34.83,78.8,6.93
287,wasilla,90,US,1608520576,92,61.58,-149.44,23.0,4.7
288,sept-iles,91,CA,1608520700,86,50.2,-66.38,30.2,3.36
289,bilibino,24,RU,1608520700,84,68.05,166.44,-18.11,5.19
290,east london,90,IS,1608520530,92,65.0,-15.0,28.4,3.36
291,wageningen,20,NL,1608520700,93,51.97,5.67,43.0,10.29
292,tukrah,20,LY,1608520701,69,32.53,20.58,57.79,14.61
293,sanmenxia,0,CN,1608520701,56,34.77,111.18,40.51,0.87
294,cordoba,0,AR,1608520701,77,-31.41,-64.18,70.0,5.82
295,carahue,0,CL,1608520701,87,-38.7,-73.17,51.8,4.7
296,raudeberg,99,NO,1608520701,85,61.99,5.14,44.01,22.64
297,chkalovskoye,77,RU,1608520701,89,44.84,133.04,17.08,10.67
298,bubaque,100,GW,1608520701,65,11.28,-15.83,80.06,3.38
299,flin flon,0,FR,1608520701,100,48.5,6.66,44.6,2.24
300,codrington,100,AU,1608520701,84,-38.27,141.97,57.6,10.2
301,buala,53,SB,1608520701,73,-8.14,159.59,84.31,3.04
302,mecca,0,SA,1608520701,62,21.43,39.83,71.11,1.66
303,haikou,40,CN,1608520701,63,20.05,110.34,60.8,11.18
304,neiafu,90,TO,1608520701,88,-18.65,-173.98,78.8,4.7
305,seminole,75,US,1608520648,83,28.71,-81.21,71.01,8.05
306,moose factory,90,US,1608520701,95,43.66,-110.72,32.0,3.36
307,muros,100,ES,1608520702,94,42.78,-9.06,60.01,5.99
308,kendari,79,ID,1608520579,61,-3.94,122.5,88.16,5.12
309,nagato,75,JP,1608520702,49,34.38,131.2,48.2,6.93
310,gladstone,36,AU,1608520702,58,-23.85,151.25,86.0,16.11
311,manokwari,100,ID,1608520702,82,-0.87,134.08,80.65,8.5
312,alamogordo,1,US,1608520702,25,32.9,-105.96,39.99,8.05
313,praia da vitoria,0,CV,1608520702,68,14.92,-23.51,71.6,16.11
314,geraldton,0,AU,1608520702,18,-28.77,114.6,96.8,17.22
315,cururupu,58,BR,1608520702,86,-1.83,-44.87,76.46,4.36
316,hobyo,80,SO,1608520702,77,5.35,48.53,78.78,17.9
317,vilyuysk,100,RU,1608520702,83,63.76,121.62,-32.85,2.15
318,miles city,1,US,1608520702,40,35.19,-120.7,59.0,8.39
319,vila praia de ancora,100,PT,1608520702,95,42.03,-8.16,53.01,5.99
320,beringovskiy,91,RU,1608520702,91,63.05,179.32,-7.17,15.37
321,soe,99,ID,1608520451,75,-9.86,124.28,77.79,8.01
322,san ramon,29,ML,1608520700,24,13.3,-4.9,68.97,13.73
323,nome,1,US,1608520702,75,64.5,-165.41,-18.4,3.36
324,gazanjyk,0,TM,1608520703,90,39.24,55.52,32.88,6.89
325,port moresby,95,CD,1608520683,72,-7.03,29.76,70.56,3.94
326,taoudenni,0,ML,1608520490,47,22.68,-3.98,57.38,11.92
327,north bend,100,FR,1608520704,93,50.33,3.67,43.0,8.05
328,goderich,80,CA,1608520704,74,43.75,-81.72,35.6,14.99
329,ixtapa,40,MX,1608520704,88,20.7,-105.2,71.6,2.24
330,faanui,99,PF,1608520704,68,-16.48,-151.75,80.58,2.01
331,chokurdakh,80,RU,1608520704,88,70.63,147.92,-20.36,9.17
332,inuvik,75,CA,1608520593,73,68.35,-133.72,-32.8,3.36
333,candelaria,92,PH,1608520704,80,13.93,121.42,82.99,7.0
334,necochea,0,AR,1608520704,72,-38.55,-58.74,50.85,5.46
335,oranjestad,20,AW,1608520577,74,12.52,-70.03,80.6,17.22
336,novomichurinsk,100,RU,1608520704,97,54.04,39.75,21.04,8.5
337,cagayan de tawi-tawi,78,PH,1608520704,78,6.97,118.51,83.12,12.8
338,dikson,2,RU,1608520704,83,73.51,80.55,-28.23,7.09
339,dzhalil,23,RU,1608520704,90,55.02,52.74,-3.6,13.09
340,mayo,90,US,1608520705,100,38.89,-76.51,39.99,1.81
341,vanavara,13,RU,1608520705,86,60.34,102.28,-19.3,2.84
342,kutum,8,SD,1608520705,47,14.2,24.67,50.4,3.65
343,tadine,27,NC,1608520705,65,-21.55,167.88,80.28,10.83
344,emba,2,KZ,1608520705,85,48.83,58.14,-6.14,4.21
345,pithoragarh,6,IN,1608520705,46,29.58,80.22,44.94,2.35
346,eirunepe,99,BR,1608520705,91,-6.66,-69.87,75.04,1.86
347,talnakh,67,RU,1608520705,73,69.49,88.4,-34.6,6.71
348,fortuna,90,US,1608520705,100,40.6,-124.16,52.0,3.04
349,nanortalik,98,GL,1608520705,97,60.14,-45.24,28.09,12.55
350,cutervo,67,PE,1608520705,100,-6.38,-78.82,51.57,2.01
351,broome,90,US,1608520705,92,42.25,-75.83,32.0,8.05
352,lima,20,PE,1608520506,82,-12.04,-77.03,68.0,14.99
353,tuatapere,100,NZ,1608520705,80,-46.13,167.68,59.0,8.01
354,victoria,84,HK,1608520584,59,22.29,114.16,62.01,1.01
355,copiapo,0,CL,1608520706,87,-27.37,-70.33,57.2,9.17
356,elko,1,US,1608520706,64,41.0,-115.5,39.99,3.36
357,yar-sale,0,RU,1608520706,85,66.83,70.83,-25.53,10.78
358,honiara,20,SB,1608520706,66,-9.43,159.95,89.6,6.93
359,bengkulu,53,ID,1608520706,58,-3.8,102.27,83.97,2.1
360,husavik,90,IS,1608520706,86,66.04,-17.34,33.8,17.22
361,kailua,40,US,1608520706,74,21.4,-157.74,82.4,11.41
362,terrace,90,CA,1608520706,100,54.52,-128.6,33.8,6.93
363,yatou,0,CN,1608520706,79,37.15,122.38,35.26,7.38
364,lagoa,100,PT,1608520706,86,39.05,-27.98,63.3,30.29
365,abnub,0,EG,1608520706,81,27.27,31.15,50.0,6.93
366,yashkul,100,RU,1608520706,95,46.17,45.34,29.59,14.27
367,kalabo,100,ZM,1608520706,94,-14.97,22.68,65.26,5.41
368,mpika,83,ZM,1608520706,91,-11.83,31.45,60.89,1.28
369,franklin,1,US,1608520630,85,39.97,-83.02,36.0,6.93
370,bolgar,90,RU,1608520708,84,54.95,49.07,-0.4,4.47
371,mumbwa,95,ZM,1608520708,91,-14.98,27.06,64.33,2.46
372,panguna,77,PG,1608520708,87,-6.32,155.48,78.06,2.06
373,hirado,75,JP,1608520708,45,33.36,129.55,48.2,4.7
374,santa fe,100,PH,1608520708,62,17.49,120.43,83.88,2.19
375,newcastle,90,AU,1608520448,94,-32.93,151.78,70.0,4.7
376,handan,0,CN,1608520708,59,36.6,114.47,38.52,3.38
377,olafsvik,100,IS,1608520708,86,64.89,-23.71,34.61,41.27
378,tual,100,ID,1608520708,79,-5.67,132.75,82.62,14.81
379,lanzhou,0,CN,1608520708,53,36.06,103.79,28.99,3.71
380,luderitz,79,NA,1608520708,93,-26.65,15.16,60.8,3.36
381,laureles,1,US,1608520708,87,26.11,-97.49,57.2,5.82
382,sam chuk,0,SN,1608520709,46,13.86,-15.95,69.8,9.17
383,cortez,1,US,1608520709,68,37.35,-108.59,28.0,4.7
384,calvinia,100,ZA,1608520709,30,-31.47,19.78,74.64,0.78
385,yarmouth,90,US,1608520709,86,41.71,-70.23,39.2,3.36
386,klaksvik,2,FO,1608520709,100,62.23,-6.59,39.2,3.36
